매장명|주소|전화번호|
마포진짜원조최대포 본점|서울 마포구 마포대로 112-4|02-719-9292
김덕후의곱창조 홍대본점|서울 마포구 와우산로 51-9 1, 2층|070-7592-0590
신촌서서갈비|서울 마포구 서강로20길 11 1층|02-707-3886
백년토종삼계탕 본점|서울 마포구 양화로 118|02-325-3399
월화고기 상암직영 1호점|서울 마포구 매봉산로2안길 12-6 1층|02-305-7592
하하&김종국의 401정육식당 홍대본점|서울 마포구 잔다리로 23 1층|02-325-0805
몽미|서울 마포구 월드컵북로48길 50 1층|02-3152-0588
강화통통생고기 본점|서울 마포구 동교로 90 1층|02-322-1838
무한리필808|서울 마포구 월드컵북로50길 9 1층|02-3152-8085
본점최대포 1호점|서울 마포구 새창로 17|02-712-9242
마포갈매기|서울 마포구 도화길 48-21|02-712-0655
서울안심축산정육식당 마포직영점|서울 마포구 토정로35길 11 인우빌딩 1층|02-3272-1515
제주정원|서울 마포구 동교로17길 8|02-336-3392
한상가득왕솥뚜껑|서울 마포구 성암로13길 36|02-374-5701
오목집 마포점|서울 마포구 도화길 50-6 1층|02-717-9656
마포소문난원조족발|서울 마포구 만리재로 19|02-716-9731
고기꾼김춘배|서울 마포구 홍익로3길 36 3,4층|010-7678-9813
돈주는남자 마포점|서울 마포구 잔다리로6길 34-9|02-6677-0499
돈화 합정본점|서울 마포구 양화로6길 10 1층|02-3141-9798
식신매운갈비찜|서울 마포구 월드컵북로5길 68 광남벨라스2차아파트상가 104,105호|02-332-8587
마포오향족발|서울 마포구 만리재로 19|02-715-7719
신김치생삼겹살|서울 마포구 양화로 50|
마포원조주물럭|서울 마포구 토정로 294|02-716-3001
영광보쌈|서울 마포구 만리재로1길 14|02-716-0873
진평925|서울 마포구 망원로 87 2층|02-332-8886
고구려 홍대점|서울 마포구 월드컵북로 14 3층|02-3144-4675
일편등심|서울 마포구 홍익로6길 52 SIL빌딩 3층|02-6212-1092
연남화로굼|서울 마포구 성미산로 195 1층|02-332-2929
쭌곱창|서울 마포구 와우산로29마길 6|02-6010-2087
사람사는 고깃집 김일도 마포공덕점|서울 마포구 토정로37길 41 1층 102호|02-704-0411
대포막창|서울 마포구 양화로6길 57-5|02-322-3928
돼지상회 홍대직영점|서울 마포구 홍익로5안길 28|02-322-8891
홍익닭 한마리 홍대본점|서울 마포구 와우산로29라길 20 2층|02-322-7523
정화|서울 마포구 양화로8길 38 1층|02-3144-4920
청년화로1987|서울 마포구 동교로 219 1층|070-8808-1159
초월양곱창|서울 마포구 포은로 66 1층|02-332-2134
시골보쌈&감자옹심이 상암점|서울 마포구 월드컵북로 400 서울산업진흥원 지하1층|02-303-1592
도마 홍대본점|서울 마포구 양화로16길 33 1층|02-3143-0365
베이스캠프|서울 마포구 잔다리로3안길 21|02-323-2360
육연해by육회먹은연어 홍대본점|서울 마포구 양화로6길 102 1,2층|070-7762-8283
계고기집|서울 마포구 백범로24길 1|02-717-7624
합정서서갈비|서울 마포구 월드컵로 45|02-334-3012
합정뒷고기|서울 마포구 양화로1길 32|02-3144-7254
배꼽집 상암DMC점|서울 마포구 월드컵북로54길 17 상암사보이시티 DMC오피스텔 2층 206,210호|02-304-9293
마포소금구이|서울 마포구 양화로 27|02-324-2198
배떼기곱창 홍대점|서울 마포구 양화로18안길 26-6|02-6082-0064
옹다래찜닭 홍대점|서울 마포구 양화로 122|02-3142-8763
탐탐오향족발|서울 마포구 와우산로29길 48-6|02-392-3989
문가네정육식당 마포역점|서울 마포구 토정로37길 3|02-3275-3690
동백집|서울 마포구 양화로23길 44|02-332-3948
구공탄곱창 합정2호점|서울 마포구 성지길 18|
옛맛서울불고기|서울 마포구 독막로 56|02-336-9371
미담진족|서울 마포구 잔다리로3안길 27 1.5층|02-334-7574
우리닭갈비|서울 마포구 어울마당로 136-5|02-338-1053
육지|서울 마포구 독막로3길 34 1층|02-2088-3905
합정동 원조황소곱창구이전문|서울 마포구 월드컵로 91 1층|02-337-6560
핑크솔트|서울 마포구 양화로 16 2~4층|02-332-3331
성산왕갈비|서울 마포구 월드컵북로 233|02-306-2001
마산족발|서울 마포구 월드컵북로 41|02-337-1399
돼지대학교 합정점|서울 마포구 독막로 15 지하1층,1,2층|02-338-8292
마포부자갈매기|서울 마포구 도화길 48 1층|02-707-1962
돌황소곱창|서울 마포구 월드컵로3길 31-32 1층|02-713-9903
남춘천닭갈비|서울 마포구 월드컵로 118|
고고갈비 홍대상수점|서울 마포구 독막로 77 1층|02-6219-9090
청춘소고기|서울 마포구 월드컵북로48길 28-5 1층|02-3665-9292
양촌리|서울 마포구 토정로 304 1층|02-701-0455
도화곱창|서울 마포구 새창로2길 13 1층|02-3275-1200
대한족발보쌈 합정본점|서울 마포구 양화로6길 53 1층|02-322-4465
88식당|서울 마포구 양화로6길 57-13 1층101호|
홍대차칸곱창|서울 마포구 와우산로23길 35-8 1층|02-337-3233
월화식당 마포본점|서울 마포구 도화길 29 1,2층|02-701-7592
육선생|서울 마포구 도화길 8-2|02-714-0888
원조청기와숯불갈비|서울 마포구 월드컵로 105|02-333-0166
마포유가궁중족발 마포본점|서울 마포구 만리재로 19|02-718-7087
마포오리농장|서울 마포구 양화로 58 명지한강빌드웰 1층 102~105호|02-332-1826
천이오겹살|서울 마포구 양화로7길 12 지층|02-325-2920
연남물갈비 동교동직영점|서울 마포구 동교로25길 37 1층|02-332-9211
램스일레븐|서울 마포구 독막로 67-8|02-323-4532
라무진 성산점|서울 마포구 월드컵북로 77 대경빌딩 1층|02-3144-0737
서강껍데기 합정점|서울 마포구 월드컵로 36 1층|
장인닭갈비 홍대점|서울 마포구 어울마당로 111-1 1층|
청춘구락부 마포점|서울 마포구 토정로 308|02-702-1399
뫼촌|서울 마포구 새창로6길 18|02-711-9966
청기와타운 마포점|서울 마포구 토정로 296 이연빌딩 1층|02-715-1474
이도맨숀 공덕점|서울 마포구 백범로 170 101동 2호|0507-1329-0708
신미경홍대닭갈비|서울 마포구 와우산로21길 31-10 1층|02-2245-5222
청기와갈비 청기와생고기2호점|서울 마포구 동교로 188-1|02-3142-3331
김덕후의곱창조 홍대4호점|서울 마포구 와우산로29길 44 지층 102호|02-332-7992
뿔난황소곱창 홍대점|서울 마포구 와우산로29바길 16|02-6053-4848
노루목황소곱창 2호점|서울 마포구 홍익로3길 32|02-334-7891
홍대최대포|서울 마포구 양화로19길 10|02-323-5055
천사곱창 홍대점|서울 마포구 와우산로21길 36-4 1층|02-337-9297
춘천신숯불닭갈비|서울 마포구 매봉산로2안길 12-6 1층|02-306-9992
둥둥막창구이|서울 마포구 월드컵로3길 27|02-335-3199
향원정|서울 마포구 양화로7길 28|02-338-3110
현정이네철판두루치기 본점|서울 마포구 포은로 65|02-338-7852
수정옥돌생소금구이|서울 마포구 어울마당로 146-1 1층|02-323-6292
마포소금구이|서울 마포구 와우산로32길 36|
구워삶다 합정본점|서울 마포구 독막로3길 46 반지하|
닭꼬얌|서울 마포구 와우산로18길 29 지하 1층|02-322-3331
한담|서울 마포구 양화로7길 49 1층|02-334-3392
신선화로 홍대점|서울 마포구 어울마당로 136-2|02-324-9858
형제한우곱창|서울 마포구 월드컵로3길 31-7 1층|02-322-3442
마부자생삼겹살 합정점|서울 마포구 월드컵로1길 14 마포한강푸르지오 B121호|02-338-0788
고기상|서울 마포구 잔다리로 112 1층|02-6014-0242
마포정대포 본점|서울 마포구 도화길 52|02-713-0710
꽃살집|서울 마포구 동교로 212-2 1층|070-8836-8615
천사곱창 홍대2호점|서울 마포구 양화로6길 79 1층|02-6338-1005
청어람 2호점|서울 마포구 망원로11길 7 1층|02-332-1711
옛날집|서울 마포구 어울마당로 143|02-3141-9608
우림집|서울 마포구 토정로37길 13 1,2층|02-712-4650
접시고기 망원역점|서울 마포구 월드컵로 143 1층|02-332-9422
퍼줄래대박집|서울 마포구 월드컵로11길 4 1층|02-3142-2927
마녀찜닭 과 닭갈비|서울 마포구 와우산로19길 26 2층|02-3144-3899
청기와타운 홍대점|서울 마포구 양화로 128 1층|02-3144-0462
구리돌곱창|서울 마포구 성암로15길 29|02-304-0730
화포식당 홍대합정점|서울 마포구 독막로3길 25 1층|02-336-9239
둥지닭볶음탕|서울 마포구 와우산로29마길 16|070-4042-4602
서교가든숯불갈비|서울 마포구 잔다리로 83 1층|02-324-8282
장수족발|서울 마포구 만리재로 19|02-703-5141
서울편백찜 망원점|서울 마포구 성미산로2길 43 1층|070-8869-8100
라무진 연남점|서울 마포구 동교로36길 3 2층|02-325-6999
생고기제작소 망원점|서울 마포구 월드컵로 135 1층|02-333-0307
라무진 공덕점|서울 마포구 백범로 152 공덕파크자이 102동 21호|02-711-6235
황소랑 홍대점|서울 마포구 와우산로29마길 23 1층|02-332-9290
꽃피는고기 홍대본점|서울 마포구 와우산로13길 49-3 1층|02-325-1889
홍구삼겹|서울 마포구 와우산로29길 56-11 102호|02-322-4640
교수곱창 7호점|서울 마포구 홍익로3길 20 1층|
고기살롱|서울 마포구 월드컵북로6길 60 1층|02-332-5467
국제양식|서울 마포구 양화로1길 38 대운행복아파트 상가 1층 102호|02-2649-4221
아빠의양식당|서울 마포구 양화로3길 37-1 1층|010-3450-1772
왕가밀 왕가본점|서울 마포구 도화길 24-1|02-702-7787
통큰갈비 홍대점|서울 마포구 어울마당로 151-1 1층|02-337-5553
공덕닭발왕|서울 마포구 만리재옛길 24-1|02-717-1556
끼로끼로부엉이 본점|서울 마포구 신촌로16길 16 1층|02-332-5154
고도식 마포점|서울 마포구 마포대로1길 16 A&D빌딩 1층|02-6952-8684
국제식당 상수점|서울 마포구 와우산로 39-4 1층|010-2501-9297
족발귀신 본점|서울 마포구 월드컵로 146 1층|02-324-2634
통큰갈비 마포공덕점|서울 마포구 백범로 123 1층|02-704-0427
마포소문난족발순대국|서울 마포구 양화로6길 9|02-333-2850
산청엔흑돼지 서울1호점|서울 마포구 포은로 110|02-322-8713
지즐 숯불갈비 성산점|서울 마포구 월드컵북로 137 CS타워 1층|02-323-4977
다락투|서울 마포구 와우산로21길 4-3|
7%칠백식당 마포직영점|서울 마포구 토정로32길 4|02-718-0705
김덕후의곱창조 홍대3호점|서울 마포구 양화로16길 21|02-3144-1349
명륜진사갈비 마포성산점|서울 마포구 성미산로 4|02-332-5229
송추가마골 인어반 마포점|서울 마포구 독막로 311 재화스퀘어 지하1층|02-706-2900
창고43 상암점|서울 마포구 매봉산로 75 DDMC타워 2층 206~208호|02-303-4343
부야스곱창 홍대본점|서울 마포구 어울마당로 136-13 2층|02-3144-4967
합정냉장고|서울 마포구 양화로6길 99-10 1층|02-334-1006
전설의우대갈비 서울상암직영점|서울 마포구 월드컵북로 396 누리꿈스퀘어 2층 R202,R203호|02-2132-8080
마포목장|서울 마포구 마포대로4길 45|02-712-1550
동신화로|서울 마포구 매봉산로2길 25-8 1층|02-6014-8892
정가네정육식당|서울 마포구 독막로 55|02-3144-8181
삼곱식당 상암점|서울 마포구 월드컵북로44길 82 1층|02-304-3456
상수김치삼겹살|서울 마포구 독막로 76 1층|
예촌|서울 마포구 마포대로4나길 7|02-707-0201
하남돼지집 신촌점|서울 마포구 서강로 132 BS타워 1층|02-711-3357
외양간|서울 마포구 독막로18길 12 1층 101호|02-3144-1888
무쇠김치삼겹 홍대점|서울 마포구 와우산로21길 20-5 1층|
소울한우|서울 마포구 삼개로 16 근신빌딩 신관 1층|02-702-0101
새마을식당 홍대서교점|서울 마포구 어울마당로 144 1층|02-332-0120
닭날다|서울 마포구 월드컵로 45-1 1층|
시골김치삼겹살|서울 마포구 월드컵로 110 1층|02-333-6678
별빛보쌈|서울 마포구 도화4길 5|02-6080-4721
연남곱창타운|서울 마포구 동교로 236|02-326-3391
마포등심|서울 마포구 월드컵북로5길 12|02-324-0923
풀뜯는돼지|서울 마포구 동교로32길 7 1층|070-8233-1690
칠성상회|서울 마포구 도화길 43 나눔빌딩 2층|02-711-5565
금성회관 합정본점|서울 마포구 양화로6길 78 1층|02-336-8984
도야지|서울 마포구 모래내로1길 20 2층|02-304-8892
우아하게|서울 마포구 동교로 185 1층|02-336-7883
신촌서서갈비 마포점|서울 마포구 새창로4길 25|02-703-6711
김덕후의곱창조 홍대2호점|서울 마포구 양화로16길 34|
최사장네닭|서울 마포구 연남로 4-1|02-334-9242
마포구이마당 용강직영점|서울 마포구 토정로 284-1|02-702-4868
도적 홍대본점|서울 마포구 어울마당로5길 3 1층|02-322-6746
화규|서울 마포구 양화로6길 57-7|02-444-4442
고향집김치삼겹살 합정역점|서울 마포구 양화로6길 13 1층|02-323-7788
10공덕황소곱창|서울 마포구 마포대로 92|02-2197-0200
명륜진사갈비 서울합정점|서울 마포구 독막로 17 1층|02-323-6699
제임스치즈등갈비 홍대본점|서울 마포구 어울마당로 145-1|02-324-3305
미삼|서울 마포구 포은로 11 1층|02-332-1892
목우촌한우명가|서울 마포구 토정로 312-1|02-717-8110
잠두봉더나인|서울 마포구 마포나루길 582 잠두봉선착장 2층|
육몽 홍대본점|서울 마포구 양화로16길 19 1,2층|02-338-1142
새벽숯불가든|서울 마포구 양화로1길 38 101호|02-388-9589
명인등심 마포직영점|서울 마포구 마포대로 144 마포T타운 지하1층|02-6367-2588
문숙이미나리식당 본점|서울 마포구 잔다리로6길 34-5|
소담|서울 마포구 매봉산로2길 3 1층|02-303-5677
설레임삼겹살1989 홍대점|서울 마포구 와우산로21길 12-6 2층|02-332-2228
한방족발|서울 마포구 만리재로 19|02-706-2126
두레우가|서울 마포구 월드컵북로 356 서서울농협 금융유통종합센터 3층|02-374-9255
대박집|서울 마포구 대흥로 80 1층|02-702-2488
제주삼다돈|서울 마포구 양화로11길 66 1,2층|
용마루굴다리껍데기|서울 마포구 만리재옛길 64|02-3273-2001
원조성우한우서서소갈비|서울 마포구 마포대로1길 26 1층|02-718-8543
동두천솥뚜껑삼겹살 합정점|서울 마포구 양화로6길 39 1층|02-332-0405
통통돼지뽈살|서울 마포구 어울마당로 126-1|02-3142-0570
마음심|서울 마포구 월드컵북로44길 17 담아재 1층 101호|02-6953-8423
육값하네 1호점|서울 마포구 양화로6길 94|02-325-9770
대감집|서울 마포구 토정로 319 1층|02-717-6826
원조마포왕갈비|서울 마포구 토정로 315|02-716-8001
장수한방삼계탕|서울 마포구 만리재로 15 제일빌딩 지하1층 22호|02-707-0256
조박집3 신관|서울 마포구 큰우물로4길 5 2층|02-6952-0463
홍대닭한마리|서울 마포구 월드컵북로2길 81 1층|02-334-7326
마포투뿔|서울 마포구 독막로 288|02-3275-2222
켄터키 식당 용강본점|서울 마포구 토정로 276 1층|02-3663-8292
홍익숯불갈비소금구이|서울 마포구 어울마당로 146-1|02-332-8806
798화로|서울 마포구 와우산로29마길 6 지하 1호|
형님저요 홍대본점|서울 마포구 어울마당로 136|
유가네닭갈비 홍대2호점|서울 마포구 홍익로3길 32 1층|02-323-0239
옹달샘 합정고깃집|서울 마포구 독막로2길 12 1층|02-332-2440
화포식당 상암점|서울 마포구 월드컵북로54길 17 사보이시티디엠씨 2층 215~216호|02-6403-3335
야끼니꾸 소량|서울 마포구 동교로 98 1층|02-6338-5725
장가네곱창구이|서울 마포구 토정로 290|02-717-2425
김장독 홍대본점|서울 마포구 양화로18길 9|02-333-6301
화씨이육공|서울 마포구 동교로 258|02-336-5260
늘푸른목장 상암점|서울 마포구 매봉산로2길 15 효인빌딩 1층|02-304-3181
우마담|서울 마포구 독막로3길 30 2층|02-6348-0518
잔등재두루치기|서울 마포구 동교로 234|02-6094-4004
신수로|서울 마포구 토정로 221 1층|02-701-0210
돈코보쌈|서울 마포구 월드컵북로6길 55 1층|02-333-9279
숲길정육점|서울 마포구 동교로 256|02-338-9228
박가네마포갈매기숯불갈비|서울 마포구 만리재로1길 3 1층|02-702-5192
좋아해닭발|서울 마포구 홍익로3길 20 서교오피스텔 1층|
강화통통생고기 성산점|서울 마포구 월드컵로 144 1층|02-335-7552
대승곱창|서울 마포구 동교로38길 4 2층|010-2987-1497
세광양대창 마포공덕점|서울 마포구 도화길 29-1 1층|02-717-2292
편백집 아현점|서울 마포구 신촌로 264 1층|02-312-4069
대두소곱창|서울 마포구 새창로 36 1층|02-718-8292
푸짐한곱창|서울 마포구 망원로11길 6|02-338-0644
미소갈매기|서울 마포구 새창로4길 16-10|02-719-5254
제주홍돈가|서울 마포구 양화로6길 57-7 지하1층|02-336-3337
정육도|서울 마포구 양화로6길 14 2층|02-333-6606
솥밥삼겹살|서울 마포구 도화길 6-3|02-712-0715
육장갈비 상암점|서울 마포구 월드컵북로54길 17 사보이시티DMC 2층 219~221호|02-303-9090
안동한우마을|서울 마포구 동교로 162 1층|02-336-9293
엉터리생고기 두번째이야기 홍대점|서울 마포구 어울마당로 118 2층|02-324-9588
본삼|서울 마포구 독막로8길 7 1층|02-336-9193
족발천하 망원점|서울 마포구 월드컵로 95|
삼삼이네생고깃집 홍대점|서울 마포구 어울마당로 51 1층|02-336-8907
고바우|서울 마포구 새창로 8-3|02-712-7515
제줏간 홍대점|서울 마포구 어울마당로 141 1층|
꿀백|서울 마포구 동교로9길 92 1층|02-332-9101
대왕고추장불고기 홍대본점|서울 마포구 잔다리로6길 34-6|
미방 마포점|서울 마포구 토정로32길 17 1층 101호|02-713-9668
돈조세|서울 마포구 동교로 254|
이차돌 홍대점|서울 마포구 잔다리로6길 36 동천빌딩 1층|02-336-3888
금복족발|서울 마포구 삼개로3길 6-3 1층|02-716-0328
흥부골 이동왕숯불갈비|서울 마포구 망원로 32|02-3141-3401
족발애감동 홍대점|서울 마포구 양화로6길 94|02-322-5257
육전면사무소 합정교보문고점|서울 마포구 월드컵로1길 14 마포 한강 푸르지오 지하 115-2호|02-332-7688
독립한우 자인정육식당|서울 마포구 새창로 20-1|02-717-9992
계륵장군 연남점|서울 마포구 연희로 43 1층|02-333-8072
홍춘천치즈닭갈비 홍대점|서울 마포구 어울마당로 126 지하1~3층|
계륵장군|서울 마포구 망원로 17|02-323-7077
태순집|서울 마포구 토정로 313|02-717-8906
모퉁이돼지숯불갈비|서울 마포구 마포대로4길 30-6|02-706-9792
서강곱창|서울 마포구 서강로16길 67|02-6204-8388
석양집|서울 마포구 토정로 317|02-716-6847
다독이네숯불구이 홍대합정점|서울 마포구 독막로3길 28 1층|02-322-9299
쟁반집8292 홍대점|서울 마포구 와우산로29길 66|02-325-8292
만족오향족발 홍대역점|서울 마포구 동교로 191 디비엠빌딩 1층|02-323-1233
소문난순대국왕족발|서울 마포구 망원로7길 36 1층|02-333-3959
목로관|서울 마포구 어울마당로 126 1~3층|02-332-5587
놀란곱창 서교동점|서울 마포구 동교로18길 40|02-334-2366
감성바베큐|서울 마포구 월드컵로3길 14 지하1층|
달팽이가그린집 황소곱창|서울 마포구 백범로36가길 76 1층|02-703-4730
참숯잔다리불고기|서울 마포구 잔다리로6길 19 1층|02-332-4667
팔각도 합정역점|서울 마포구 양화로6길 76 1층|02-336-0555
정통집 홍대점|서울 마포구 와우산로19길 27 1층|02-325-8885
버그네차돌불고기|서울 마포구 숭문길 7-1 101호|02-703-6304
고기도국수면|서울 마포구 동교로9길 95 1층 101호|02-323-2366
족발야시장 상암점|서울 마포구 성암로13길 47 1층|02-303-3888
박달재|서울 마포구 토정로37가길 19|02-714-3660
아고야|서울 마포구 월드컵북로 352-14 지하1층|
땡땡이 양철집|서울 마포구 성암로 46-3|02-373-4654
제주촌|서울 마포구 동교로 243-4|02-322-5131
육도|서울 마포구 토정로 261|02-703-3465
상암토우|서울 마포구 매봉산로2길 7|02-783-4245
조박집2 별관|서울 마포구 토정로 311|
참나무본가 공덕점|서울 마포구 마포대로6길 10 2층|02-712-9997
육회바이유신 망원점|서울 마포구 망원로11길 29 1층|070-8779-6565
소나무숯불구이|서울 마포구 마포대로11길 25-18|02-711-4769
꼬꼬댁옻닭닭곰탕|서울 마포구 동교로 26 1층|02-3142-8587
하남돼지집 애오개역점|서울 마포구 마포대로 214|02-313-9233
곰식당|서울 마포구 독막로3길 38 1층 102호|02-336-1802
마포껍데기 홍대점|서울 마포구 어울마당로 100-8 1, 2층|02-336-1131
야끼니꾸소량 합정점|서울 마포구 포은로 38|02-6397-0257
삼겹살데이|서울 마포구 망원로10길 6 1층 108호|02-353-0173
목로|서울 마포구 매봉산로2길 25 지하 1층|
송계옥 홍대점|서울 마포구 홍익로5길 30 노벨리아 서교 1층 101호|
상수통통돼지 홍대점|서울 마포구 독막로 93|02-325-6007
망원회관|서울 마포구 희우정로 114-1 봉황빌딩 1층|02-6956-1956
이억만껍데기|서울 마포구 동교로 255 1층|
미정솥뚜껑생삼겹살|서울 마포구 성암로3길 15|02-308-3297
공덕삼교비|서울 마포구 만리재로 5|
지호한방삼계탕 합정점|서울 마포구 월드컵로 31 오벨리움빌딩 1층|02-333-8827
교수곱창 6호점|서울 마포구 홍익로3길 32|02-337-2486
다락방화로구이|서울 마포구 만리재로1길 7|02-703-8898
송추가마골 인어반 상암점|서울 마포구 성암로 267 지하1층 116호|02-371-0014
콩불 홍대점|서울 마포구 어울마당로 118 1층|02-322-3545
밤새우리|서울 마포구 독막로5길 28|070-4823-5556
육회로|서울 마포구 독막로9길 8|070-8803-8970
칠백식당 홍대직영점|서울 마포구 신촌로4길 22-6 지하 1층|02-333-3006
윤재윤지네 왕십리곱창|서울 마포구 희우정로 76 마포아파트 상가 1층 102호|02-333-9298
히츠지야 망리단길점|서울 마포구 포은로 82 1층|
풍년숯불갈비|서울 마포구 동교로 264 1층|02-322-5818
종로계림 닭도리탕원조 상암점|서울 마포구 매봉산로 80 1층 10호|02-303-9488
모닭모닭 홍대본점|서울 마포구 와우산로27길 24|070-8286-9930
참맛집 상암점|서울 마포구 월드컵북로58길 10 지하1층|02-304-8576
합정족발보쌈|서울 마포구 월드컵로3길 31-6 1층|02-332-7767
몽골생소금구이|서울 마포구 희우정로 93-1|010-5695-7050
넙딱집 상수점|서울 마포구 독막로 104 1층 1호|02-6498-2225
청돈옥|서울 마포구 잔다리로6길 10 더 마운드 1층|0507-1319-0460
한우마을정육점식당|서울 마포구 월드컵로 47|02-333-5431
짚신매운갈비찜 홍대점|서울 마포구 양화로19길 2 1층|02-324-0308
더삼겹170|서울 마포구 백범로 170 더샵상가 102동 15호|02-713-3339
하남돼지집 홍대입구역점|서울 마포구 월드컵북로2길 5 1층|02-333-3938
그믐족발 연남점|서울 마포구 동교로46길 10 지층|02-332-6577
갓갈비 마포상암DMC점|서울 마포구 매봉산로2길 9 1층|070-8153-6019
장수보감|서울 마포구 백범로1길 8-7|02-703-7558
토담오리숯불구이|서울 마포구 독막로 253|02-716-2295
육부자|서울 마포구 월드컵로3길 31|02-333-1192
리가든 마포직영점|서울 마포구 토정로 309 1층|02-717-1649
등마을숯불갈비|서울 마포구 와우산로32길 31-4|02-335-3545
한우마당 마포직영점|서울 마포구 마포대로10길 16 1,2층|02-719-7792
광명대창집 홍대점|서울 마포구 독막로7길 45 1층|02-324-0478
마포숯불닭갈비|서울 마포구 마포대로8안길 14 맑은못 1층|02-6406-1016
숙련도|서울 마포구 도화길 49 1층|
한방삼계탕|서울 마포구 창전로 75-6|02-336-4717
백두한우곱창|서울 마포구 월드컵로1길 14 1층 B119호|02-337-0101
상암한우한마리|서울 마포구 희우정로 126 1층|02-3142-0310
마포무공해숯불갈비|서울 마포구 만리재로1길 8|02-716-4296
마왕족발 홍대점|서울 마포구 어울마당로 136-18 1층|02-332-7792
본가껍데기 본점|서울 마포구 희우정로 68 1층|02-322-3274
망원꽃돼지|서울 마포구 포은로 63|02-336-5744
아미원|서울 마포구 신촌로12가길 38 1층|02-333-4005
유진정육식당|서울 마포구 독막로 11-5 2층|02-3143-5525
연막탄|서울 마포구 독막로3길 26 2층|0507-1475-0290
합정숯불갈비|서울 마포구 월드컵로3길 31-5|02-333-8482
세광양대창 상암점|서울 마포구 월드컵북로44길 73 1층|02-303-3392
닭이봉춘천닭갈비막국수 상암점|서울 마포구 월드컵북로 351-3|02-304-9009
빽돈 홍대점|서울 마포구 독막로 67-14 1층|02-332-7712
노고산숯불갈비|서울 마포구 백범로 14|02-717-8475
육향|서울 마포구 잔다리로 97|02-6349-6060
뭉칫돈|서울 마포구 홍익로5안길 16 2층|02-335-3552
호계식 망원점|서울 마포구 동교로 40 1층|02-6084-9996
팔색삼겹살 신촌본점|서울 마포구 백범로 18 지층|02-719-4848
화설|서울 마포구 성미산로 188 1층|
원조부안집 마포직영점|서울 마포구 토정로 311 1층|
형제특수부위|서울 마포구 도화길 50-1 1~3층|02-711-5701
작가식당|서울 마포구 동교로27길 74 1층|010-5698-8487
냅다청양집 상암점|서울 마포구 월드컵북로48길 30|070-7774-4456
마포곱창 홍대점|서울 마포구 어울마당로 141-1 1층|02-336-0062
무쏘 홍대입구역점|서울 마포구 어울마당로 131|02-336-3994
삼겹의신|서울 마포구 어울마당로 111-1 2층|02-322-2346
김덕후의곱창조 홍대클럽점|서울 마포구 잔다리로 7 1층|02-337-0792
김숙성|서울 마포구 광성로6길 14 1층|010-8471-3759
호남돼지한마당|서울 마포구 동교로 42|02-332-7119
우아한|서울 마포구 새창로6길 2 1층|02-717-9198
콩불 홍대2호점|서울 마포구 잔다리로6길 35 1층|
서교동연탄집|서울 마포구 동교로 158 1층|02-332-9298
오십그램|서울 마포구 와우산로21길 28-8|
만족오향족발 상암DMC점|서울 마포구 월드컵북로54길 25 상암DMC푸르지오시티 S-City 1층 112~113호|02-305-9747
