매장명|주소|전화번호|
라헬의부엌 홍대점|서울 마포구 와우산로29길 47 1, 2층|02-332-4325
달콤한거짓말|서울 마포구 독막로 61-4|02-3141-3338
공상온도|서울 마포구 동교로23길 40 지하 1층|02-336-0247
딥커피|서울 마포구 동교로 209|02-323-2979
멜로우|서울 마포구 잔다리로 30-11 1층|010-2929-8283
네시사분|서울 마포구 성미산로 190-8 1층|02-6405-3877
카페 클로이인패리스|서울 마포구 성미산로 190-3 2층|010-2732-6626
비포블루밍|서울 마포구 양화로23길 28|
카페 지금여기|서울 마포구 양화로16길 30-5 3층|070-8803-2112
ESC방탈출카페 홍대점|서울 마포구 와우산로21길 19-16 지하2층|02-336-8287
카페장쌤|서울 마포구 와우산로29마길 5|070-4084-3414
카페 사운드웨이브|서울 마포구 독막로3길 24 3층|070-8825-3758
미스터리룸이스케이프 홍대2호점|서울 마포구 독막로7길 41 2층|02-336-9010
펠른|서울 마포구 성미산로22길 18 A동 1층|02-332-9287
모멘트커피|서울 마포구 월드컵북로4길 29 1층|070-8860-5287
키오스크|서울 마포구 월드컵로19길 74 어쩌다가게 2층 204호|
코코샌드|서울 마포구 양화로23길 22-7 2층|02-3144-1112
저스티나|서울 마포구 양화진2길 31 1층|02-332-5551
민트하임|서울 마포구 잔다리로6길 28|02-324-1359
앤티크커피 연남점|서울 마포구 연희로 25-1 1층|
리플로우 연남점|서울 마포구 월드컵북로6길 88 1~2층|02-6409-0502
모파상|서울 마포구 양화로19길 22-13|02-333-6002
카페 시루모락|서울 마포구 양화로10길 20 1층 상가|0507-1323-0201
대충유원지|서울 마포구 월드컵북로6길 37 1층|070-4799-5640
미완성식탁|서울 마포구 망원로6길 37|
러빈허플라워&갤러리카페|서울 마포구 신촌로6길 22|02-322-0122
서울이스케이프룸 홍대2호점|서울 마포구 와우산로17길 11 코스모스빌딩 3층|02-333-6502
어니스트팬케이크|서울 마포구 동교로38안길 13 1층|010-3239-5828
재미난조각가 홍대점|서울 마포구 와우산로21길 24 2층|02-325-4543
커피냅로스터스 연남동|서울 마포구 성미산로27길 70 1층|02-332-4131
8810리스트레토바|서울 마포구 월드컵북로6길 88-10|070-4903-7370
르쁘띠푸 홍대본점|서울 마포구 와우산로 62 삼애빌딩 2층|02-322-2669
청수당 공명|서울 마포구 성미산로 152|070-7791-7972
카페333|서울 마포구 와우산로29라길 12|02-3144-3312
알디프|서울 마포구 와우산로35길 19 지하1층, 1층|070-7759-5033
더귀여워|서울 마포구 어울마당로 44-1 라꼼마빌딩 2층|02-334-0889
큐브이스케이프 홍대점|서울 마포구 양화로16길 15 무광빌딩 4층|02-323-5567
리얼이스케이프챌린지|서울 마포구 와우산로27길 21 4층|02-333-3882
퀜치커피|서울 마포구 동교로12안길 9 1층|
17도씨|서울 마포구 동교로29길 38 1층 101호|02-337-1706
비하인드|서울 마포구 어울마당로5길 18 1층|123
목화씨라운지|서울 마포구 성미산로29길 23|02-332-5576
집사의하루 홍대점|서울 마포구 와우산로21길 19-8 태경빌딩 2층|02-792-7984
커피랩|서울 마포구 와우산로29길 14|02-3143-0908
아이다호|서울 마포구 동교로 39 2층|070-8871-0412
코리코카페|서울 마포구 성미산로 165-7 지층,1,2층|02-6373-3346
이리카페|서울 마포구 와우산로3길 27 1층|02-323-7861
보헤미안 박이추 커피공장 상암점|서울 마포구 성암로 267 MBC몰파크 2층 201호|02-372-6688
스타벅스 홍대입구역사거리R점|서울 마포구 양화로 125 경남관광빌딩 1층|1522-3232
스타벅스 홍대역점|서울 마포구 양화로 165 상진빌딩 1층|1522-3232
와디즈303|서울 마포구 토정로3길 11 2층|010-9607-5545
카페로제|서울 마포구 와우산로29길 40-18 3층|010-8422-0915
델문도|서울 마포구 잔다리로 19-6 2층|
스타벅스 홍대공항철도역점|서울 마포구 양화로 178|1522-3232
카페꼼마 합정점|서울 마포구 포은로 49|070-4179-2207
다다랩|서울 마포구 월드컵로15길 17 지하|0507-1342-8305
스타일난다 핑크풀카페 홍대점|서울 마포구 와우산로29다길 23 4층|070-7663-6909
밀로커피로스터스|서울 마포구 양화로18안길 36 1층|02-554-3916
겨울이머무는집|서울 마포구 와우산로17길 19-5|
티크닉|서울 마포구 성미산로 147 103호|
금옥당 서교점|서울 마포구 어울마당로 39 1층|02-325-4040
토라비|서울 마포구 와우산로29바길 24 2층|02-640-8838
새검정|서울 마포구 독막로2길 17 1층|070-7795-2019
모리츠플라츠|서울 마포구 와우산로 174 1층|010-2601-0423
싸인이스케이프 홍대점|서울 마포구 와우산로 65 6층|02-2039-9188
슈아브|서울 마포구 월드컵북로5가길 17 1층|02-322-0999
도화아파트먼트 마포|서울 마포구 도화2길 27|070-7808-0990
비바살롱|서울 마포구 포은로 84 1층|02-333-7575
애프터눈커피|서울 마포구 신촌로4길 22-14 1층, 2층|02-335-3119
시나모롤 스위트카페|서울 마포구 양화로 188 2층|
스트라다로스터스|서울 마포구 월드컵로3길 14 마포한강2차푸르지오 230호|02-336-0146
코이크|서울 마포구 동교로39길 8 1~2층|02-6396-4804
연남살롱|서울 마포구 성미산로 122-1 1층|02-332-3471
스타벅스 망원한강공원점|서울 마포구 망원동 205-8 2층|1522-3232
실루엣커피|서울 마포구 독막로8길 33-5 1층|02-6449-6049
설빙 홍대입구역점|서울 마포구 홍익로6길 15 삼주빌딩 2층|02-323-3287
엑스이스케이프 홍대놀이터점|서울 마포구 와우산로21길 20-5 홍대프라자 3층|02-336-2425
폴링디저트|서울 마포구 와우산로29길 44 1층|
어썸마운틴|서울 마포구 연희로 17 1층|
그로브177|서울 마포구 신촌로2안길 42 101호|010-7200-8723
쇼콜라윰|서울 마포구 와우산로21길 26 1층|02-337-1027
후엘고|서울 마포구 마포대로11길 118 1층|02-712-9265
오늘의위로|서울 마포구 방울내로7길 29 1층|02-322-5203
모센즈 스위트|서울 마포구 어울마당로 51-1 1층|0507-1339-7354
낙랑파라|서울 마포구 연희로1길 21|02-538-1197
아틀리에크레타|서울 마포구 망원로2길 69 2층|
카페꼼마 연남점|서울 마포구 성미산로29길 17-8 지하1층,1~4층|02-332-4436
파이인더샵|서울 마포구 성미산로27길 26|070-8837-0171
라뽀즈|서울 마포구 양화로6길 60 1층|
반지대학 홍대본점|서울 마포구 잔다리로 7 4층|02-6224-6620
엣모스피어|서울 마포구 망원로 54-1 1층|070-8692-4162
카페톤|서울 마포구 성미산로1길 26 1층|02-6348-5759
미지엄|서울 마포구 성암로 205 1,2층|02-6951-3033
아비아채 서울홍대점|서울 마포구 와우산로37길 52 오하나하우스 1층|02-332-5166
연남동벚꽃집|서울 마포구 동교로29길 50|
스타벅스 공덕오거리점|서울 마포구 마포대로 86 창강빌딩 1층|1522-3232
플랫랜드|서울 마포구 동교로17길 37 1층|02-322-0065
스타벅스 망원역점|서울 마포구 월드컵로 74 1,2층|1522-3232
할리스 합정역점|서울 마포구 양화로 36|02-6204-1234
카페그랑주|서울 마포구 홍익로5길 13 동신빌딩 지하1층|02-325-3131
테라로사 노을공원점|서울 마포구 하늘공원로 112 1층|033-648-2760
비밀의화원 미드나잇점|서울 마포구 독막로7길 27 3층|02-3144-6977
메가MGC커피 홍대입구역점|서울 마포구 홍익로6길 48 1층|02-323-0650
로우머|서울 마포구 월드컵로13길 55-26 1층|
스타벅스 합정메세나몰점|서울 마포구 양화로 45 메세나폴리스 지하1층 161~164호|1522-3232
리밀앤밀리|서울 마포구 동교로22길 21 1층|02-326-1223
스노브|서울 마포구 와우산로 59|02-325-5770
스타벅스 합정점|서울 마포구 월드컵로1길 14|1522-3232
홍대반지카페 본점|서울 마포구 잔다리로6길 40-6 3층|02-337-6464
일쩜오플로어 연남본점|서울 마포구 동교로34길 21|02-3144-3801
물결 한강|서울 마포구 마포나루길 296|
칼디커피|서울 마포구 와우산로29길 54|02-335-7770
데코아발림|서울 마포구 독막로15길 13-6 1층|02-335-1970
투썸플레이스 홍대입구역점|서울 마포구 월드컵북로2길 57|02-3142-7955
스핀오프|서울 마포구 와우산로 161 성경빌딩 2층 203호|
브레이크아웃이스케이프 홍대점|서울 마포구 와우산로 102 3층|02-336-3527
카페모노블럭|서울 마포구 와우산로23길 14 102호|02-3144-2040
가비애|서울 마포구 와우산로 147-1|070-7739-4007
인솔커피 상수점|서울 마포구 독막로18길 16 1층|02-2135-3166
유니드마이요거트|서울 마포구 성미산로29길 44 1층|02-3144-4970
비트포비아 던전101|서울 마포구 와우산로 74 2층|02-3144-2342
카페데코믹스 홍대점|서울 마포구 어울마당로 96 3층|02-338-2221
듀윗|서울 마포구 동교로 242-5 2층|02-324-2017
할리스 홍대입구역점|서울 마포구 양화로 151 욱도빌딩 1층|02-322-3584
카페겟앤쇼 공덕점|서울 마포구 마포대로 89 1층|02-326-2771
아날로그가든|서울 마포구 동교로 145|010-9213-8560
커피짱|서울 마포구 양화로19길 22-16 유티엘동교빌딩 1층|010-5597-4710
스타벅스 홍대삼거리점|서울 마포구 와우산로 64|1522-3232
스타벅스 상암DMC점|서울 마포구 월드컵북로 375 DMC이안오피스텔1단지 102,202호|1522-3232
누아네|서울 마포구 백범로 112-1|02-712-9231
키이스케이프 홍대점|서울 마포구 어울마당로 44-1 지하1층|010-7497-5517
바온하우스|서울 마포구 성미산로17길 62|010-5597-1069
꾸머카페|서울 마포구 성지길 40 1층,2층|02-322-8930
벌스가든 (VER S GARDEN)|서울 마포구 성미산로23길 44|070-8716-1888
안녕낯선사람|서울 마포구 어울마당로5길 40|02-333-5610
스타벅스 서교동사거리|서울 마포구 양화로 105 1층|1522-3232
망원동티라미수 본점|서울 마포구 포은로 87 1층|02-324-7877
나인나인|서울 마포구 양화로16길 14-16 엘케이빌딩 1층|02-322-7762
영앤도터스|서울 마포구 마포대로 156 공덕푸르지오시티 1층 107호|
유니르|서울 마포구 동교로 256-10|010-9716-1234
두드림|서울 마포구 고산길 4|02-6929-0106
스타벅스 동교점|서울 마포구 월드컵북로 22 영준빌딩 1층|1522-3232
투썸플레이스 합정역점|서울 마포구 독막로 5|02-323-0026
엑스케이프 홍대점|서울 마포구 홍익로3길 44 호곡빌딩 7층|02-336-0502
무유무유|서울 마포구 성미산로 190-4 102호|
투썸플레이스 공덕해링턴스퀘어점|서울 마포구 마포대로 92 B동 1층|02-2197-0222
아메노히커피점|서울 마포구 와우산로 168 101호|070-4202-5347
스타벅스 공덕점|서울 마포구 마포대로 130|1522-3232
디어라이프카페|서울 마포구 양화로12길 16-9 북앤빌딩 지하1층|02-6949-0039
알레스카페|서울 마포구 백범로1길 16|
카펫|서울 마포구 동교로9길 72 1, 2층|02-336-5712
카페꼬모|서울 마포구 와우산로21길 31-12 1층|
C27 홍대점|서울 마포구 양화로 161 3층  301호|02-2250-7727
이스케이퍼스 2호점|서울 마포구 와우산로17길 19-24 지하1층|010-6672-5216
PIT COFFEE|서울 마포구 월드컵북로6길 52 1층|
포라운지|서울 마포구 양화로21길 37 3,4층|02-325-3434
EGO카페|서울 마포구 양화로8길 32-17 1층|02-338-9342
언플러그드 홍대점|서울 마포구 와우산로33길 26 1층|070-4200-9251
더블하모니|서울 마포구 동교로 99|02-763-0123
비온카페|서울 마포구 와우산로29길 39 2층|02-336-2028
투썸플레이스 홍대걷고싶은거리점|서울 마포구 어울마당로 109 2~4층|02-337-7955
커피빈 홍대역점|서울 마포구 홍익로6길 26 2층|02-333-4278
비스트로에버|서울 마포구 월드컵북로 332-16 1층|02-303-7074
휴카페|서울 마포구 와우산로21길 31-10 4층|02-332-8903
커피탐이나|서울 마포구 잔다리로3안길 31|02-332-3212
도식화|서울 마포구 와우산로17길 19-9 1,2층|
당고집|서울 마포구 어울마당로3길 5 1층|070-7573-3164
해피베어데이 합정점|서울 마포구 양화로12길 16-6 1층|010-2211-9051
꽈페 연남점|서울 마포구 동교로46길 20 1~3층|
88파운드|서울 마포구 연남로13길 9|
해피베어데이|서울 마포구 와우산로13길 49-9 상수빌딩 1층|010-8803-2624
브라운시티 로스팅랩 합정점|서울 마포구 독막로 27|010-9055-1414
로우필름 카페앤갤러리|서울 마포구 독막로7길 44 1층|02-336-5500
빌리엔젤 홍대점|서울 마포구 와우산로 103|
소설원망원|서울 마포구 월드컵로13길 22-3 1층|010-2644-8687
타이프 한강점|서울 마포구 토정로 128 서강8경빌딩 5층|010-8893-9962
쥬마뺄|서울 마포구 와우산로37길 42 2층|02-332-9011
하이타운 서울|서울 마포구 와우산로29다길 10 1층 101호|0507-1325-4926
파롤앤랑그 연남본점|서울 마포구 성미산로29안길 8|
나와나타샤|서울 마포구 와우산로29길 22|02-763-0409
삼다코지|서울 마포구 독막로9길 34 1층|02-336-4666
덤앤더머 홍대점|서울 마포구 독막로7길 48 5층|02-336-0959
그림카페|서울 마포구 성미산로 161-10 1층|010-2612-8103
마가렛 연남|서울 마포구 성미산로29길 10|
스타벅스 마포용강동점|서울 마포구 토정로 295|
스타벅스 마포염리점|서울 마포구 독막로 311|1522-3232
그릭데이 홍대점|서울 마포구 홍익로 10 서교푸르지오 101동 1층 119호|02-332-9224
알앤엠|서울 마포구 성미산로17길 12 1층|070-7631-0909
써니네|서울 마포구 양화로18안길 16 3층|02-334-3712
퍼즐팩토리 홍대본점|서울 마포구 와우산로21길 34 3층|010-7409-3531
하품룸카페|서울 마포구 어울마당로 92 2층|0507-1375-6339
테누커피|서울 마포구 성미산로29안길 19-4 1층|
브론시스|서울 마포구 연희로1길 57 지하1층|02-325-2788
카페모임 1호점|서울 마포구 매봉산로 72 1층 101호|02-308-1005
반지하커피|서울 마포구 와우산로15길 37|02-6014-4111
띵크프룻|서울 마포구 와우산로29길 14-12 1층|02-3144-7077
할리스 홍대역점|서울 마포구 어울마당로 111 2~4층|02-323-7791
디저트머라이언|서울 마포구 와우산로27길 75 2층|
뜨랑블랑|서울 마포구 마포대로4나길 42 힐탑빌라 1층|010-9124-8738
신이도가|서울 마포구 잔다리로 20-12|
무제한룸카페|서울 마포구 어울마당로 118 3층|070-4202-5571
카페소공원|서울 마포구 어울마당로5길 52|02-3144-3226
댓커피|서울 마포구 백범로1길 60 1층|0507-1356-7188
세라젬웰카페 상암DMC점|서울 마포구 월드컵북로 332|02-6949-3725
스타벅스 디지털미디어시티역|서울 마포구 성암로 179 한샘상암사옥 1층|1522-3232
히트커피로스터스 서교점|서울 마포구 동교로 146 1층|02-335-7117
몽카페그레고리|서울 마포구 양화로6길 84 2, 3층|02-322-9579
메리트리|서울 마포구 성미산로29안길 17 2층|
이스케이퍼스 1호점|서울 마포구 연희로1길 7 2~4층|010-5594-5216
구름뜬하늘|서울 마포구 와우산로27길 21 2층|02-3144-4978
연남동고양이|서울 마포구 양화로21길 15 3층|02-336-6430
스타벅스 신촌오거리점|서울 마포구 신촌로16길 10|1522-3232
하이준게스트하우스&카페|서울 마포구 동교로 105 1, 2층|02-3144-3946
레드플랜트|서울 마포구 양화로7길 6|070-8722-0802
모리셔스브라운 망원점|서울 마포구 월드컵로10길 39|070-5099-1479
칼라스커피 성산점|서울 마포구 월드컵북로16길 16 1층|02-3494-2388
로스터제임스커피랩|서울 마포구 월드컵로15길 23 호호빌딩 1층 101호|010-4444-1531
룸넘버3|서울 마포구 독막로 73-1 2층|02-336-7315
로파이|서울 마포구 와우산로15길 16 1층|02-332-1310
도자기카페줄|서울 마포구 신촌로4길 11 세광빌딩 3층|010-2231-8202
얀쿠브레|서울 마포구 양화로21길 23|02-322-4469
프리마떼|서울 마포구 월드컵로 35 2층|02-304-7444
리쏘네|서울 마포구 동교로23길 32-15 1층|02-332-7370
피크닉마나올라나|서울 마포구 성미산로 153-16|
코코아트리|서울 마포구 와우산로11길 9-10 2층|010-5376-3435
어썸도넛서울|서울 마포구 독막로6길 5 1층|0507-1339-8809
스타벅스 합정폴리스R점|서울 마포구 양화로 45 지하1층|1522-3232
카페비비드|서울 마포구 독막로3길 28-18|
에스프레소부티크|서울 마포구 연남로3길 7 2층|02-332-5663
커피와사람들 홍대점|서울 마포구 홍익로6길 74 홍남빌딩 1층|
카페 몽글|서울 마포구 와우산로29라길 11|
시크릿코드 홍대점|서울 마포구 어울마당로 144 3층|02-332-6561
연남동그라미|서울 마포구 성미산로32길 10 1층|010-6837-0350
데일리라운드|서울 마포구 동교로38길 27-19 2층|02-332-7880
티와이티디|서울 마포구 양화로19길 22-8 1층|02-325-0205
슬리핑포레스트|서울 마포구 동교로41길 31|02-322-2807
스타벅스 상암사보이시티|서울 마포구 월드컵북로54길 17|1522-3232
갤러리카페바이아스|서울 마포구 와우산로35길 53 2층|
푸링|서울 마포구 손기정로 5|
헤이미쉬|서울 마포구 동교로38길 27|
오펠레|서울 마포구 독막로 291-5 1층|02-707-2712
스타벅스 마포일진빌딩점|서울 마포구 마포대로 45 일진빌딩 1층|1522-3232
오퍼|서울 마포구 홍익로5길 19|
머씨커피|서울 마포구 양화로8길 32-10 1,2층|02-332-1211
공휴|서울 마포구 와우산로 48 1층|070-8881-0202
낮인더무드|서울 마포구 독막로3길 24-9|
다스이스트프로밧|서울 마포구 독막로8길 16|070-5102-5022
커넥츠커피|서울 마포구 성지길 60 1층|02-6080-9449
조앤도슨|서울 마포구 동교로41길 31 1층 B102호|010-7663-1002
달의계단|서울 마포구 와우산로27길 74|02-334-2355
시간의공기|서울 마포구 독막로 50 1층|070-4402-3816
브라운시티 홍대정문점|서울 마포구 와우산로 88-1 2층|
스타벅스 홍대역8번출구점|서울 마포구 양화로 166|1522-3232
카페 공명 홍대 2호점|서울 마포구 와우산로17길 11-8|070-8870-6304
카페마마스 상암MBC점|서울 마포구 성암로 267 101호|02-376-1250
사운드카페 소리|서울 마포구 와우산로 159 2층|
서당개2년로스터스|서울 마포구 동교로51길 129-6 1~4층|02-332-7133
카페보니|서울 마포구 독막로4길 7|
릴리우드|서울 마포구 서강로11길 18 104호|070-4154-3388
몬스터케이브|서울 마포구 신촌로4길 22-8 1층 101호|
투썸플레이스 마포역점|서울 마포구 마포대로 44 진도빌딩 2층 1-1호|02-717-3707
수택|서울 마포구 양화로7길 4-13 1층 101호|02-6012-7666
츄시떼|서울 마포구 성미산로11길 25 지하 1층|
스타벅스 상수역점|서울 마포구 독막로 88|1522-3232
폴바셋 교보문고합정점|서울 마포구 월드컵로1길 14 딜라이트 스퀘어 지하 2층|02-332-7094
무슈부부커피스탠드 망원점|서울 마포구 망원로 13 1층|02-337-7711
써밋컬쳐 신촌점|서울 마포구 신촌로14안길 11 1층|070-7762-1009
스카이래빗|서울 마포구 홍익로6길 4|
신점사주타로 이웃집마녀|서울 마포구 연희로1길 22 2층|010-3071-0486
미스터리룸이스케이프 홍대점|서울 마포구 잔다리로 5-1 상아빌딩 5층|02-323-1314
튜토리얼|서울 마포구 와우산로 39-15|
카페플러피|서울 마포구 와우산로13길 49-13 1층|02-123-1234
카페아벨롭|서울 마포구 양화로15안길 6 Avelop 아벨롭|02-336-8897
헤이쥬드|서울 마포구 와우산로37길 7 3층|010-4077-4851
살구다방|서울 마포구 신수동 85-30 노블하우스 지하 1층 비01호|010-5456-1348
미남당&배배꼬|서울 마포구 독막로15길 25 1층|02-6013-7874
라포레스타|서울 마포구 신촌로6길 23 지하1층|
플랫|서울 마포구 서강로9길 24 계린빌딩 지하1층|02-6015-0087
발코니가든|서울 마포구 어울마당로 155-1 4층|02-332-1371
코발트무드|서울 마포구 동교로38길 42|010-8637-5761
라헨느|서울 마포구 동교로46길 24-5 1층|
스타벅스 마포아크로점|서울 마포구 마포대로 68 마포 아크로타워 118호|1522-3232
포니테일|서울 마포구 광성로6길 36 1층|070-8854-3339
폴바셋 AK플라자 홍대|서울 마포구 양화로 188 1층|02-3142-5804
멧라운지|서울 마포구 어울마당로5길 42 1층|
EERT 망원|서울 마포구 포은로 105-1 1,2층|02-336-6610
어쩌다가게 망원라운지|서울 마포구 월드컵로19길 74|02-3144-7147
도쿄수플레 연남점|서울 마포구 성미산로 161-11 화이트하우스 1층|010-5179-5959
달리|서울 마포구 양화로6길 86 2층|02-6401-4123
공차 홍대점|서울 마포구 어울마당로 114 1층|02-3144-0743
스타벅스 상암MBC점|서울 마포구 성암로 267 MBC신사옥 C1 경영센터|1522-3232
카페고마워늘|서울 마포구 월드컵로1길 43 2층|
마핑파|서울 마포구 포은로 74 2층|02-336-1600
카페 바우|서울 마포구 와우산로29라길 7 1층|010-6721-0506
플로이드|서울 마포구 독막로15길 3-7 이현S 1층|
정원속화실담다|서울 마포구 동교로 53 1층|010-4553-8166
스노잉 합정점|서울 마포구 성지길 22 1층|02-332-1278
코드케이 홍대점|서울 마포구 와우산로 64 3층|02-332-8842
위드커피|서울 마포구 양화로18안길 12 1,2층|02-322-7557
아망디네|서울 마포구 동교로46길 13 1,5층|0507-1346-1341
키레네도시21C 홍대본점|서울 마포구 월드컵북로 48-3 1층|02-336-6821
공미학 마포홍대점|서울 마포구 양화로 162 3층|02-332-3315
레스피레|서울 마포구 월드컵로13길 55-24 지하1층, 1층|010-9866-7702
드롭탑 홍대점|서울 마포구 어울마당로 45-1 동지빌딩 1층|02-338-7879
투썸플레이스 마포공덕점|서울 마포구 마포대로 156 공덕푸르지오시티 1층|02-703-7772
카페목수의딸|서울 마포구 와우산로38길 2 1층|02-323-7868
미래안|서울 마포구 어울마당로 120 3층|02-337-1869
스타벅스 서강광흥창역점|서울 마포구 서강로 69|1522-3232
카페345|서울 마포구 홍익로2길 7 1층 101,102호|02-333-8015
캘리포니아도넛클럽&비라티오 홍대직영점|서울 마포구 잔다리로 28 1,2층|02-332-8077
투썸플레이스 마포구청점|서울 마포구 월드컵로36길 14|02-303-7054
더지엘|서울 마포구 홍익로5안길 36 1층|070-4848-0083
도토리앤다람쥐|서울 마포구 와우산로 144-6 1층|0507-1327-8101
엔제리너스 L7홍대점|서울 마포구 양화로 141 1,2층|02-326-0793
서치홀|서울 마포구 동교로23길 98-9|02-332-4041
복숭아꽃|서울 마포구 양화로6길 99-5|
방탈출 이스케이프하우스|서울 마포구 와우산로21길 28-9 1,2층|
마로스쿠키|서울 마포구 토정로 34 1층 101호|
소울버튼|서울 마포구 와우산로15길 23 2층|02-1234-5678
자유인들|서울 마포구 와우산로22길 34 1,2층|
리얼커피|서울 마포구 동교로 32-1|
퍼머넌트해비탯|서울 마포구 백범로15길 17 1층|
얼반스퀘어|서울 마포구 독막로8길 15|
서울페이스트리 연남점|서울 마포구 동교로41길 10|02-332-5339
스토랑트커피 서울상암점|서울 마포구 월드컵북로 396 누리꿈스퀘어 지하1층 B1057-7~19,21~32호|02-2135-6349
유어로스팅파크|서울 마포구 성미산로22길 23|02-2636-2637
스타벅스 상암디지털큐브점|서울 마포구 상암산로 34 1층|1522-3232
메가MGC커피 합정역점|서울 마포구 양화로 46-1 1층|02-3144-2012
파도|서울 마포구 양화로6길 57-14 1층|070-5151-1918
블로트커피|서울 마포구 와우산로19길 6-5|070-8820-2480
카페 어싸이드|서울 마포구 신촌로2안길 35 1층|0507-1350-8045
더파이샵|서울 마포구 성미산로 163 1층|070-4116-7065
더블유오앤|서울 마포구 잔다리로6길 20-9 로이스퀘어 지하1층, 1층|02-332-3667
파우스디멘션|서울 마포구 양화로12길 16-12 1층|010-4096-7016
골든크레마|서울 마포구 어울마당로 121 2,3,4층|
블루로그|서울 마포구 토정로 27-1 3층|070-8829-6688
페블스|서울 마포구 연남로3길 23 L&K빌딩 1층 2호|
